school_name,latitude,longitude,vacancies,avg_resale
BUKIT PANJANG PRIMARY SCHOOL,1.373472192,103.7693175,44,306737.7958903191
HAIG GIRLS' SCHOOL,1.311539114,103.9033936,55,320481.96281818807
TECK WHYE PRIMARY SCHOOL,1.383558303,103.7536828,73,306865.3926456418
JURONG PRIMARY SCHOOL,1.348684512,103.7329748,33,243973.27321298516
QUEENSTOWN PRIMARY SCHOOL,1.29559366,103.8075486,60,263508.70512750256
RADIN MAS PRIMARY SCHOOL,1.274961612,103.82418,33,320050.66636887984
RAFFLES GIRLS' PRIMARY SCHOOL,1.330073919,103.8062213,74,418180.5
ROSYTH SCHOOL,1.372915796,103.8746932,20,315468.24567337625
DAMAI PRIMARY SCHOOL,1.335351315,103.9212683,56,331391.99396898644
FUHUA PRIMARY SCHOOL,1.336403763,103.7366695,52,267362.47006623656
WOODLANDS PRIMARY SCHOOL,1.436746383,103.7917717,39,329350.1786837167
EUNOS PRIMARY SCHOOL,1.324388363,103.9043748,26,273769.3913463537
HENRY PARK PRIMARY SCHOOL,1.316725811,103.7842083,32,259505.65060083696
BENDEMEER PRIMARY SCHOOL,1.322208475,103.8653513,56,286983.6528019155
CORPORATION PRIMARY SCHOOL,1.35148549,103.7075784,64,241587.75209451644
YIO CHU KANG PRIMARY SCHOOL,1.377822709,103.8855687,65,315467.7654148131
BLANGAH RISE PRIMARY SCHOOL,1.276120344,103.8086284,36,317395.02915935597
ANG MO KIO PRIMARY SCHOOL,1.369092065,103.8390414,45,304128.05698453845
MAYFLOWER PRIMARY SCHOOL,1.376398737,103.8431658,63,304128.0569845384
TECK GHEE PRIMARY SCHOOL,1.365200631,103.8510322,47,304128.0561061399
TEMASEK PRIMARY SCHOOL,1.317706782,103.9455907,20,269869.5237508811
SI LING PRIMARY SCHOOL,1.432699866,103.7857788,54,329350.1669028936
JING SHAN PRIMARY SCHOOL,1.371892676,103.8518111,36,304128.0569845384
YISHUN PRIMARY SCHOOL,1.433496399,103.8340274,55,261100.33362036396
STAMFORD PRIMARY SCHOOL,1.303859599,103.8569551,62,300569.2319213194
FERNVALE PRIMARY SCHOOL,1.389979399,103.874101,67,314173.3397638284
TOWNSVILLE PRIMARY SCHOOL,1.360362634,103.8541855,57,304010.58839745645
RULANG PRIMARY SCHOOL,1.347189532,103.7187861,22,241587.75209451644
QIFA PRIMARY SCHOOL,1.312621542,103.75703,69,273534.51090816426
ZHANGDE PRIMARY SCHOOL,1.28449822,103.826149,62,307963.6148254274
TAMPINES PRIMARY SCHOOL,1.350486398,103.9435731,46,341862.13448232104
CHONGZHENG PRIMARY SCHOOL,1.350594769,103.9512252,42,343537.035773157
XINGHUA PRIMARY SCHOOL,1.357996547,103.8902164,63,294484.2466370097
JIEMIN PRIMARY SCHOOL,1.427646852,103.8304804,46,261100.02050891245
FUCHUN PRIMARY SCHOOL,1.430639768,103.7781752,72,329350.1669028936
BUKIT VIEW PRIMARY SCHOOL,1.345945246,103.7535888,61,285285.89867821865
CEDAR PRIMARY SCHOOL,1.335641223,103.8754913,83,283001.3906273116
OPERA ESTATE PRIMARY SCHOOL,1.319968755,103.9237527,41,282392.7038910822
RIVER VALLEY PRIMARY SCHOOL,1.294183475,103.8360189,33,297728.60369287897
TELOK KURAU PRIMARY SCHOOL,1.331045863,103.910934,66,476909.30201923416
YUMIN PRIMARY SCHOOL,1.351459603,103.9507161,46,343537.035773157
SHUQUN PRIMARY SCHOOL,1.347653104,103.7215237,29,241587.75209451644
GAN ENG SENG PRIMARY SCHOOL,1.285955393,103.8152282,66,317637.9923144664
GONGSHANG PRIMARY SCHOOL,1.357348982,103.9488719,38,343537.035773157
HUAMIN PRIMARY SCHOOL,1.42731881,103.8448634,54,261100.02050891245
XISHAN PRIMARY SCHOOL,1.433501455,103.8382893,83,261107.96485254966
PRINCESS ELIZABETH PRIMARY SCHOOL,1.349194518,103.7409996,40,271571.74570938165
DAZHONG PRIMARY SCHOOL,1.359101577,103.7481587,50,285285.89866823563
BEDOK GREEN PRIMARY SCHOOL,1.323996276,103.937745,74,269852.82821596187
LIANHUA PRIMARY SCHOOL,1.354155069,103.7542104,68,285285.8986681665
ZHONGHUA PRIMARY SCHOOL,1.360166735,103.8696959,47,272424.2562821585
PEIYING PRIMARY SCHOOL,1.417408192,103.8302995,57,261100.02050891245
KEMING PRIMARY SCHOOL,1.345245053,103.7562645,39,285285.9047554403
CHANGKAT PRIMARY SCHOOL,1.340208008,103.9521834,44,341866.21027177
ZHENGHUA PRIMARY SCHOOL,1.379802361,103.7691708,51,307350.58056445024
SOUTH VIEW PRIMARY SCHOOL,1.381766725,103.7472898,38,306749.1410006836
PASIR RIS PRIMARY SCHOOL,1.372451327,103.9629227,34,379049.6999996352
CHUA CHU KANG PRIMARY SCHOOL,1.377743283,103.7418605,68,306748.8381119354
GREENRIDGE PRIMARY SCHOOL,1.385873754,103.7678146,66,307350.58056445024
FARRER PARK PRIMARY SCHOOL,1.312504162,103.8509027,57,300270.462967466
BUKIT TIMAH PRIMARY SCHOOL,1.337749867,103.7668553,65,246151.71650998015
LAKESIDE PRIMARY SCHOOL,1.338375696,103.7180969,63,241587.75209451644
BEACON PRIMARY SCHOOL,1.384236677,103.7737544,72,310699.18618690205
INNOVA PRIMARY SCHOOL,1.429184592,103.7905571,39,329350.16690289427
GREENDALE PRIMARY SCHOOL,1.396402656,103.912566,106,341645.0530644967
ENDEAVOUR PRIMARY SCHOOL,1.45417629,103.8174273,66,308420.166015625
NORTH VISTA PRIMARY SCHOOL,1.382893394,103.8958542,79,315468.24567337625
ANCHOR GREEN PRIMARY SCHOOL,1.390662478,103.8872561,75,314523.0392563157
HORIZON PRIMARY SCHOOL,1.400008815,103.9130715,91,341645.05306449684
CANTONMENT PRIMARY SCHOOL,1.275505441,103.8399227,58,423659.7100267848
FRONTIER PRIMARY SCHOOL,1.336643112,103.6996828,34,254001.4034123713
WESTWOOD PRIMARY SCHOOL,1.347154632,103.7005267,29,253992.77044197923
PUNGGOL GREEN PRIMARY SCHOOL,1.401804873,103.8987729,25,341645.0513096814
PUNGGOL VIEW PRIMARY SCHOOL,1.405145826,103.9051564,60,341645.051309722
SENGKANG GREEN PRIMARY SCHOOL,1.392540093,103.8749849,43,314893.1997562259
SPRINGDALE PRIMARY SCHOOL,1.394754077,103.8896116,53,314175.3989899487
PALM VIEW PRIMARY SCHOOL,1.383840756,103.8912151,71,315468.24567337625
RIVERSIDE PRIMARY SCHOOL,1.447047343,103.801832,23,329350.1788880676
WEST SPRING PRIMARY SCHOOL,1.389434143,103.7661934,23,307350.58056445024
ALEXANDRA PRIMARY SCHOOL,1.291299035,103.8239408,54,281997.322472136
NORTHOAKS PRIMARY SCHOOL,1.456666873,103.81361,93,308420.166015625
ANGSANA PRIMARY SCHOOL,1.348465689,103.9515771,43,341862.2501606899
PUNGGOL COVE PRIMARY SCHOOL,1.411563565,103.8989704,61,341645.051309722
OASIS PRIMARY SCHOOL,1.40440927,103.9109964,57,341645.0530644965
WATERWAY PRIMARY SCHOOL,1.39915421,103.9186708,82,341645.05235218804
FERN GREEN PRIMARY SCHOOL,1.397620783,103.8802101,83,318914.78439845983
FIRST TOA PAYOH PRIMARY SCHOOL,1.340322987,103.8555299,51,269546.51825703157
NEW TOWN PRIMARY SCHOOL,1.299811389,103.7999648,82,267155.6443325861
BOON LAY GARDEN PRIMARY SCHOOL,1.342846708,103.712969,90,241587.75209451644
MARSILING PRIMARY SCHOOL,1.434423117,103.7736977,54,328410.6817851876
PEI TONG PRIMARY SCHOOL,1.316148017,103.7675763,84,273534.51090845093
YUHUA PRIMARY SCHOOL,1.342919818,103.7408611,65,271571.7457093874
FENGSHAN PRIMARY SCHOOL,1.330324955,103.9318854,46,341817.5939949156
YU NENG PRIMARY SCHOOL,1.333903809,103.9320341,25,341862.1342559259
XINMIN PRIMARY SCHOOL,1.371414726,103.8830391,48,315467.7654148131
YANGZHENG PRIMARY SCHOOL,1.348976808,103.8684671,44,224026.61690808617
JUYING PRIMARY SCHOOL,1.338951451,103.6878331,33,253994.3359375
JUNYUAN PRIMARY SCHOOL,1.347891544,103.9396469,24,341862.13448232104
NORTHLAND PRIMARY SCHOOL,1.421304042,103.8407929,53,261100.02050891245
NAVAL BASE PRIMARY SCHOOL,1.416280153,103.8387977,74,261100.02050891245
XINGNAN PRIMARY SCHOOL,1.34268487,103.687724,37,253994.3359375
QIHUA PRIMARY SCHOOL,1.442035966,103.7883398,48,329350.1786842846
GUANGYANG PRIMARY SCHOOL,1.346042665,103.8492848,46,238247.41441307412
TAMPINES NORTH PRIMARY SCHOOL,1.36069172,103.9489368,71,343547.31270977436
ELIAS PARK PRIMARY SCHOOL,1.375056963,103.9452894,52,381107.02576105355
AHMAD IBRAHIM PRIMARY SCHOOL,1.433681207,103.8329243,92,261100.33362036396
NORTH VIEW PRIMARY SCHOOL,1.427943403,103.8483683,44,261114.260047214
PIONEER PRIMARY SCHOOL,1.348720927,103.6948679,66,253986.23786210082
PUNGGOL PRIMARY SCHOOL,1.378200623,103.8947533,64,315467.7654148131
PARK VIEW PRIMARY SCHOOL,1.378016876,103.9392022,52,379507.8125
ADMIRALTY PRIMARY SCHOOL,1.442549639,103.8002137,53,329350.17887089634
KRANJI PRIMARY SCHOOL,1.393910031,103.7474154,61,306749.85748156905
SENG KANG PRIMARY SCHOOL,1.389250457,103.8995279,87,294174.2602644153
WOODLANDS RING PRIMARY SCHOOL,1.434769705,103.7978411,61,329350.17884628987
WEST VIEW PRIMARY SCHOOL,1.383590574,103.7602891,64,306865.4478301391
WHITE SANDS PRIMARY SCHOOL,1.365517813,103.9609482,40,379049.7000796889
UNITY PRIMARY SCHOOL,1.40282339,103.7469934,54,305125.0
CANBERRA PRIMARY SCHOOL,1.451064007,103.8159709,52,308418.6248779297
RIVERVALE PRIMARY SCHOOL,1.393414025,103.9045595,62,341645.0556725577
JURONG WEST PRIMARY SCHOOL,1.339243753,103.6988958,45,254003.38992453413
EAST SPRING PRIMARY SCHOOL,1.352770138,103.9617431,44,360795.2012750221
EVERGREEN PRIMARY SCHOOL,1.444148359,103.7945453,43,329350.1786794168
COMPASSVALE PRIMARY SCHOOL,1.394445295,103.8978122,72,341645.05576845433
WOODGROVE PRIMARY SCHOOL,1.43305806,103.7903896,41,329350.1786866839
SEMBAWANG PRIMARY SCHOOL,1.445043645,103.8210215,55,311004.97601648176
CONCORD PRIMARY SCHOOL,1.380411513,103.7361428,73,294986.5183430884
NORTH SPRING PRIMARY SCHOOL,1.387528236,103.903513,67,295184.2201000246
YEW TEE PRIMARY SCHOOL,1.396726035,103.751818,55,306859.96490344405
HOUGANG PRIMARY SCHOOL,1.378039861,103.8811662,60,315467.7654148131
MERIDIAN PRIMARY SCHOOL,1.375970831,103.9351432,62,381012.6953125
GREENWOOD PRIMARY SCHOOL,1.440110498,103.8046293,61,329350.17887409776
ANDERSON PRIMARY SCHOOL,1.384665965,103.8412384,47,304128.0569845389
WELLINGTON PRIMARY SCHOOL,1.451890833,103.8223419,85,305957.8951316774
EDGEFIELD PRIMARY SCHOOL,1.400297835,103.9074305,68,341645.051309722
WEST GROVE PRIMARY SCHOOL,1.344712122,103.6989642,40,253992.77044445762
CASUARINA PRIMARY SCHOOL,1.372789016,103.9572913,48,379049.70007968904
CLEMENTI PRIMARY SCHOOL,1.315808563,103.7630548,75,273534.5109084484
TANJONG KATONG PRIMARY SCHOOL,1.32401712,103.9389668,49,269872.42728718446
ANGLO-CHINESE SCHOOL (JUNIOR),1.309321297,103.8406435,46,292401.27250014717
CHIJ PRIMARY (TOA PAYOH),1.332818153,103.8419184,42,269546.3675077155
CHIJ (KELLOCK),1.302050821,103.8002646,70,267155.6443325861
CHIJ OUR LADY OF THE NATIVITY,1.373174017,103.8976594,76,296871.06165925245
DE LA SALLE SCHOOL,1.395071916,103.7434436,66,306749.778971076
ST. ANDREW'S JUNIOR SCHOOL,1.331389131,103.8651289,50,276750.0375914638
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1.334806855,103.9412089,84,341862.12905279896
ST. GABRIEL'S PRIMARY SCHOOL,1.349246034,103.862332,45,238246.1012560763
ST. MARGARET'S PRIMARY SCHOOL,1.304144074,103.8458203,65,314631.19327110087
ST. JOSEPH'S INSTITUTION JUNIOR,1.317702253,103.8456701,60,300278.0275403073
ST. STEPHEN'S SCHOOL,1.318816206,103.9175261,74,402728.4288429833
CHIJ OUR LADY OF GOOD COUNSEL,1.357951427,103.8642502,50,270842.5190256643
MONTFORT JUNIOR SCHOOL,1.373937639,103.8896908,51,315467.7654148131
CHIJ OUR LADY QUEEN OF PEACE,1.366758014,103.7676948,66,291948.6364344461
FAIRFIELD METHODIST SCHOOL (PRIMARY),1.300798691,103.7856922,32,267155.63974514697
GEYLANG METHODIST SCHOOL (PRIMARY),1.318144168,103.8836285,78,310332.13020188164
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.349114574,103.8544477,45,238246.10036200882
ST. HILDA'S PRIMARY SCHOOL,1.349349944,103.9379205,56,341862.13448232104
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,1.320394162,103.8299478,34,426441.171875
METHODIST GIRLS' SCHOOL (PRIMARY),1.33286306,103.7833634,21,294826.171875
NAN CHIAU PRIMARY SCHOOL,1.392064681,103.890925,59,314171.17647744657
CANOSSA CATHOLIC PRIMARY SCHOOL,1.326853515,103.8810021,47,310332.13020187983
KONG HWA SCHOOL,1.311114219,103.8882094,51,308334.0620408723
MEE TOH SCHOOL,1.394853563,103.9085726,93,341645.0520737231
NGEE ANN PRIMARY SCHOOL,1.305525067,103.917463,65,363158.2945883274
RED SWASTIKA SCHOOL,1.33349383,103.9343749,20,341862.1342559259
TAO NAN SCHOOL,1.304631529,103.9112042,34,336681.2699470263
NANYANG PRIMARY SCHOOL,1.321070942,103.8076819,20,266893.58240140043
ST. ANTHONY'S PRIMARY SCHOOL,1.364639125,103.749294,49,285642.95706870814
MAHA BODHI SCHOOL,1.328580239,103.9013069,43,274343.7760592419
PEI CHUN PUBLIC SCHOOL,1.332740881,103.8586287,27,276750.04269839625
POI CHING SCHOOL,1.358087001,103.9353525,70,343537.0100562272
KHENG CHENG SCHOOL,1.337407636,103.8477611,75,269546.51825703157
NAN HUA PRIMARY SCHOOL,1.306142317,103.7651726,20,273534.51090845093
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.338055078,103.7761082,20,310405.80224609375
AI TONG SCHOOL,1.36058343,103.8330203,30,304098.68857981055
HONG WEN SCHOOL,1.321689285,103.8576518,48,276751.36466108274
HOLY INNOCENTS' PRIMARY SCHOOL,1.366737841,103.8936841,45,299742.1233185049
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.349841864,103.8849784,75,263088.961537463
CHONGFU SCHOOL,1.438462312,103.8390707,46,266363.63373443857
CHIJ (KATONG) PRIMARY,1.306526862,103.9109216,67,336681.26994417695
ANGLO-CHINESE SCHOOL (PRIMARY),1.318718599,103.8353452,28,286624.60955381393
CATHOLIC HIGH SCHOOL,1.354788877,103.8449341,20,238879.87030103465
MARIS STELLA HIGH SCHOOL,1.342183956,103.8780965,55,261517.08159179898
CHIJ ST. NICHOLAS GIRLS' SCHOOL,1.373729673,103.8343089,20,304128.0569845329
MARYMOUNT CONVENT SCHOOL,1.340427023,103.839899,83,238246.10017846234
